category,country,status,objective,campaign_id,campaign_name,brand_name,primary_KPI,currency,ad_group_id,start_date,end_date,media_platform,channel,ad_placement,ad_format,sem_keyword_type,age_groups,genders,retargeting,interest,audience_type,billing_type,billing_unit_cost, budget , actual_spend , impressions , clicks , ctr , views , vtr , opens , sessions , conversions , conversion_rate , revenue , roas 
Home Appliances,DE,completed,conversion,DY_COOL_2024_001,Summer Cooling Series,Dyson,roas,EUR,DY_COOL_GDN_1,2024-06-25,2024-07-31,Google Display Network,DISPLAY,Responsive Display,image,,25-54,all,TRUE,home_aircare,retargeting,cpc,0.32," 5,000 "," 5,000 "," 1,340,000 "," 18,700 ",1.4%,,0.0%,," 10,966 ", 113 ,1.0%," 36,400 ", 7.3 
Home Appliances,DE,completed,conversion,DY_WIN_2024_001,Winter Smart Tech Push,Dyson,roas,EUR,DY_WIN_SEM_BR_1,2024-12-21,2025-01-31,Google,SEM,Search,text,brand,25-64,all,FALSE,indoor_air,prospecting,cpc,1.45," 5,700 "," 5,700 "," 376,000 "," 24,950 ",6.6%,,0.0%,," 21,600 ", 480 ,2.2%," 234,286 ", 41.1 
Home Appliances,DE,completed,conversion,DY_WIN_2024_001,Winter Smart Tech Push,Dyson,roas,EUR,DY_WIN_SEM_GEN_1,2024-12-21,2025-01-10,Google,SEM,Search,text,generic,25-54,all,FALSE,room_heater,prospecting,cpc,2.45," 3,300 "," 3,300 "," 127,000 "," 5,000 ",3.9%,,0.0%,," 5,250 ", 131 ,2.5%," 55,946 ", 17.0 
Home Appliances,DE,completed,conversion,DY_WIN_2024_001,Winter Smart Tech Push,Dyson,roas,EUR,DY_WIN_META_PR_1,2024-12-21,2025-01-15,Instagram,SOCIAL,Feed+Reels,video,,25-44,all,FALSE,cozy_home,prospecting,cpc,0.69," 2,330 "," 2,330 "," 1,011,000 "," 14,580 ",1.4%," 403,000 ",39.9%,," 9,203 ", 264 ,2.9%," 126,677 ", 54.4 
Home Appliances,DE,completed,conversion,DY_WIN_2024_001,Winter Smart Tech Push,Dyson,roas,EUR,DY_WIN_META_RT_1,2025-01-03,2025-01-31,Instagram,SOCIAL,IG/FB Feed+Stories,video,,25-64,all,TRUE,,retargeting,cpc,0.81," 4,670 "," 4,670 "," 1,284,000 "," 19,500 ",1.5%," 549,000 ",42.8%,," 11,330 ", 350 ,3.1%," 187,880 ", 40.2 
Home Appliances,DE,completed,conversion,DY_WIN_2024_001,Winter Smart Tech Push,Dyson,roas,EUR,DY_WIN_GDN_RT_1,2024-12-28,2025-01-31,Google Display Network,DISPLAY,Responsive Display,image,,25-64,all,TRUE,air_clean,retargeting,cpc,0.33," 7,000 "," 7,000 "," 1,960,000 "," 26,700 ",1.4%,,0.0%,," 13,802 ", 418 ,3.0%," 184,800 ", 26.4 
Home Appliances,DE,completed,conversion,DY_WIN_2024_001,Winter Smart Tech Push,Dyson,roas,EUR,DY_WIN_EMAIL_1,2024-12-21,2025-01-31,Salesforce Marketing Cloud,EMAIL,Inbox,html,,25-64,all,TRUE,,retargeting,flat," 2,000 "," 2,000 "," 2,000 ",,,,,," 11,000 "," 4,800 ", 107 ,2.2%," 51,436 ", 25.7 
Home Appliances,DE,completed,conversion,DY_WIN_2024_001,Winter Smart Tech Push,Dyson,roas,EUR,DY_WIN_AWIN_1,2024-12-21,2025-01-31,Awin,AFFILIATE,Review+Deal,image,,25-64,all,FALSE,price_compare,prospecting,cpa,29," 5,000 "," 5,000 ",,,,,,," 10,300 ", 249 ,2.4%," 125,180 ", 25.0 
Living & Furniture,DE,completed,consideration,EM_AUT_2024_001,Autumn_Comfort_Promotion,Emma,sessions,EUR,EM_AUT_SEM_BR_1,2024-09-01,2024-10-15,Google,SEM,Search,text,brand,20-35,all,FALSE,comfort,prospecting,cpc,1.1," 2,200 "," 2,200 "," 155,000 "," 12,400 ",8.0%,,0.0%,," 8,900 ", 117 ,1.3%," 62,526 ", 28.4 
Living & Furniture,DE,completed,consideration,EM_AUT_2024_001,Autumn_Comfort_Promotion,Emma,sessions,EUR,EM_AUT_SEM_GEN_1,2024-09-01,2024-10-10,Google,SEM,Search,text,generic,20-35,all,FALSE,mattress_home,prospecting,cpc,1.95," 1,800 "," 1,800 "," 96,000 "," 4,100 ",4.3%,,0.0%,," 4,305 ", 69 ,1.6%," 37,725 ", 21.0 
Living & Furniture,DE,completed,consideration,EM_AUT_2024_001,Autumn_Comfort_Promotion,Emma,sessions,EUR,EM_AUT_TIK_PR_1,2024-09-01,2024-09-20,TikTok,SOCIAL,Feed+Spark,video,,20-35,female,FALSE,lifestyle,prospecting,cpc,0.55," 9,000 "," 8,960 "," 4,000,000 "," 34,500 ",0.9%," 900,000 ",22.5%,," 20,548 ", 249 ,1.2%," 132,690 ", 14.7 
Living & Furniture,DE,completed,consideration,EM_AUT_2024_001,Autumn_Comfort_Promotion,Emma,sessions,EUR,EM_AUT_META_RT_1,2024-09-10,2024-10-15,Instagram,SOCIAL,IG/FB_FeedStories,video,,20-35,all,TRUE,,retargeting,cpc,0.78," 4,000 "," 4,000 "," 1,200,000 "," 16,300 ",1.4%," 380,000 ",31.7%,," 8,026 ", 141 ,1.8%," 80,224 ", 20.1 
Living & Furniture,DE,completed,consideration,EM_AUT_2024_001,Autumn_Comfort_Promotion,Emma,sessions,EUR,EM_AUT_YT_1,2024-09-05,2024-10-15,YouTube,DISPLAY,In-Stream,video,,20-35,all,FALSE,home_ambience,prospecting,cpv,0.03," 8,000 "," 8,000 "," 4,800,000 "," 45,220 ",0.9%," 240,000 ",5.0%,," 30,024 ", 488 ,1.6%," 264,932 ", 33.1 
Living & Furniture,DE,completed,consideration,EM_AUT_2024_001,Autumn_Comfort_Promotion,Emma,sessions,EUR,EM_AUT_EMAIL_1,2024-09-01,2024-10-15,Salesforce_Marketing_Cloud,EMAIL,Inbox,html,,20-45,all,TRUE,,retargeting,flat," 2,000 "," 2,000 "," 2,000 ",,,,,," 12,500 "," 3,100 ", 47 ,1.5%," 29,978 ", 15.0 
Living & Furniture,DE,completed,consideration,EM_AUT_2024_001,Autumn_Comfort_Promotion,Emma,sessions,EUR,EM_AUT_AWIN_1,2024-09-01,2024-10-15,Awin,AFFILIATE,Review+Deal,image,,20-45,all,FALSE,home_lifestyle,prospecting,cpa,25," 3,000 "," 3,000 ",,,,,,," 5,100 ", 62 ,1.2%," 27,954 ", 9.3 
Living & Furniture,DE,active,conversion,EM_BEDSET_2024_001,Bedroom Essentials Sale,Emma,roas,EUR,EM_BED_SEM_BR_1,2024-07-01,2024-08-15,Google,SEM,Search,text,brand,20-35,all,FALSE,bedding,prospecting,cpc,1.3," 7,000 "," 7,000 "," 440,000 "," 30,800 ",7.0%,,0.0%,," 25,500 ", 339 ,1.3%," 104,593 ", 14.9 
Living & Furniture,DE,active,conversion,EM_BEDSET_2024_001,Bedroom Essentials Sale,Emma,roas,EUR,EM_BED_SOC_PR_1,2024-07-01,2024-07-20,Instagram,SOCIAL,Feed+Reels,video,,20-35,all,FALSE,home_lifestyle,prospecting,cpc,0.72," 9,000 "," 9,000 "," 3,300,000 "," 30,200 ",0.9%," 820,000 ",24.8%,," 20,300 ", 356 ,1.8%," 121,888 ", 13.5 
Living & Furniture,DE,active,conversion,EM_BEDSET_2024_001,Bedroom Essentials Sale,Emma,roas,EUR,EM_BED_YT_1,2024-07-05,2024-08-15,YouTube,DISPLAY,In-Stream,video,,20-35,all,FALSE,cooling,prospecting,cpv,0.03," 8,000 "," 8,000 "," 5,300,000 "," 42,624 ",0.8%," 270,000 ",5.1%,," 24,745 ", 333 ,1.3%," 132,949 ", 16.6 
Living & Furniture,DE,active,conversion,EM_BEDSET_2024_001,Bedroom Essentials Sale,Emma,roas,EUR,EM_BED_AWIN_1,2024-07-01,2024-08-15,Awin,AFFILIATE,Review+Deal,image,,20-35,all,FALSE,home_sets,prospecting,cpa,27," 3,000 "," 3,000 ",,,,,,," 6,500 ", 109 ,1.7%," 39,534 ", 13.2 
Living & Furniture,DE,active,conversion,EM_BEDSET_2024_001,Bedroom Essentials Sale,Emma,roas,EUR,EM_BED_EMAIL_1,2024-07-01,2024-08-15,Salesforce Marketing Cloud,EMAIL,Inbox,html,,20-45,all,TRUE,,retargeting,flat," 2,000 "," 3,000 "," 3,000 ",,,,,," 2,690 ", 940 , 16 ,1.7%," 6,264 ", 2.1 
Living & Furniture,DE,completed,awareness,EM_NGHYB_2024_001,Emma NextGen Hybrid Launch Campaign,Emma,sessions,EUR,EM_NG_SEM_BR_1,2024-03-15,2024-05-05,Google,SEM,Search,text,brand,20-35,all,FALSE,mattress,prospecting,cpc,1.2," 12,000 "," 12,000 "," 680,000 "," 51,000 ",7.5%,,0.0%,," 31,900 ", 295 ,0.9%," 160,923 ", 13.4 
Living & Furniture,DE,completed,awareness,EM_NGHYB_2024_001,Emma NextGen Hybrid Launch Campaign,Emma,sessions,EUR,EM_NG_SEM_GEN_1,2024-03-15,2024-04-20,Google,SEM,Search,text,generic,20-35,all,FALSE,sleep_quality,prospecting,cpc,2.4," 8,000 "," 8,000 "," 360,000 "," 12,000 ",3.3%,,0.0%,," 7,400 ", 69 ,0.9%," 34,957 ", 4.4 
Living & Furniture,DE,completed,awareness,EM_NGHYB_2024_001,Emma NextGen Hybrid Launch Campaign,Emma,sessions,EUR,EM_NG_META_PR_1,2024-03-15,2024-04-10,Instagram,SOCIAL,Feed+Reels,video,,20-35,all,FALSE,comfort_living,prospecting,cpc,0.74," 67,000 "," 67,000 "," 16,100,000 "," 43,300 ",0.3%," 4,843,000 ",30.1%,," 108,200 ", 925 ,0.9%," 429,352 ", 6.4 
Living & Furniture,DE,completed,awareness,EM_NGHYB_2024_001,Emma NextGen Hybrid Launch Campaign,Emma,sessions,EUR,EM_NG_META_RT_1,2024-03-30,2024-05-05,Instagram,SOCIAL,IG/FB Feed+Stories,video,,20-35,all,TRUE,-,retargeting,cpc,0.82," 18,000 "," 18,000 "," 2,020,000 "," 26,200 ",1.3%," 635,000 ",31.4%,," 31,600 ", 344 ,1.1%," 150,974 ", 8.4 
Living & Furniture,DE,completed,awareness,EM_NGHYB_2024_001,Emma NextGen Hybrid Launch Campaign,Emma,sessions,EUR,EM_NG_YT_1,2024-03-20,2024-05-05,YouTube,DISPLAY,In-Stream,video,,20-35,all,FALSE,morning_routine,prospecting,cpv,0.04," 14,000 "," 14,000 "," 2,970,000 "," 32,662 ",1.1%," 890,000 ",30.0%,," 26,000 ", 244 ,0.9%," 132,087 ", 9.4 
Living & Furniture,DE,completed,awareness,EM_NGHYB_2024_001,Emma NextGen Hybrid Launch Campaign,Emma,sessions,EUR,EM_NG_GDN_RT_1,2024-04-01,2024-05-05,Google Display Network,DISPLAY,Responsive Display,image,,20-35,all,TRUE,mattress,retargeting,cpc,0.36," 26,000 "," 26,000 "," 4,390,000 "," 60,600 ",1.4%,,0.0%,," 35,584 ", 325 ,0.9%," 186,067 ", 7.2 
Living & Furniture,DE,completed,awareness,EM_NGHYB_2024_001,Emma NextGen Hybrid Launch Campaign,Emma,sessions,EUR,EM_NG_EMAIL_1,2024-03-15,2024-05-05,Salesforce Marketing Cloud,EMAIL,Inbox,html,,20-35,all,TRUE,,retargeting,flat," 5,000 "," 5,000 "," 5,000 ",,,,,," 20,500 "," 5,900 ", 61 ,1.0%," 33,905 ", 6.8 
Living & Furniture,DE,completed,consideration,EM_SW_2024_001,Emma x SCHÖNER WOHNEN Sleep Design Story,Emma,sessions,EUR,EM_SW_PARTNER_1,2024-02-15,2024-03-31,YouTube Creator,PARTNERSHIP,Creator Collab,video,,20-35,female,FALSE,,prospecting,flat," 4,000 "," 4,000 "," 4,000 ",,,," 200,180 ",,," 6,800 ", 132 ,1.9%," 52,808 ", 13.2 
Living & Furniture,DE,completed,consideration,EM_SW_2024_001,Emma x SCHÖNER WOHNEN Sleep Design Story,Emma,sessions,EUR,EM_SW_META_PR_1,2024-02-15,2024-03-15,Instagram,SOCIAL,Feed+Reels,video,,20-35,female,FALSE,interior_aesthetic,prospecting,cpc,0.68," 7,000 "," 6,980 "," 2,900,000 "," 26,000 ",0.9%," 670,000 ",23.1%,," 16,282 ", 282 ,1.7%," 92,156 ", 13.2 
Living & Furniture,DE,completed,consideration,EM_SW_2024_001,Emma x SCHÖNER WOHNEN Sleep Design Story,Emma,sessions,EUR,EM_SW_META_RT_1,2024-03-01,2024-03-31,Instagram,SOCIAL,IG/FB Feed+Stories,video,,20-35,female,TRUE,,retargeting,cpc,0.78," 3,000 "," 3,000 "," 1,200,000 "," 16,000 ",1.3%," 390,000 ",32.5%,," 11,209 ", 163 ,1.5%," 53,623 ", 17.9 
Living & Furniture,DE,completed,consideration,EM_SW_2024_001,Emma x SCHÖNER WOHNEN Sleep Design Story,Emma,sessions,EUR,EM_SW_MAG_1,2024-02-15,2024-03-31,Vogue,PR,Print+Online,image,,20-35,female,FALSE,home_style,prospecting,flat," 6,000 "," 6,000 "," 6,000 ",,,,,,," 6,400 ", 96 ,1.5%," 30,756 ", 5.1 
Living & Furniture,DE,completed,conversion,EM_UPG_2024_001,Mattress Upgrade Campaign,Emma,roas,EUR,EM_UPG_SEM_BR_1,2024-05-15,2024-06-20,Google,SEM,Search,text,brand,25-35,all,TRUE,upgrade,retargeting,cpc,1.2," 6,000 "," 6,000 "," 170,000 "," 13,600 ",8.0%,,0.0%,," 22,635 ", 167 ,0.7%," 68,133 ", 11.4 
Living & Furniture,DE,completed,conversion,EM_UPG_2024_001,Mattress Upgrade Campaign,Emma,roas,EUR,EM_UPG_META_RT_1,2024-05-20,2024-06-20,Instagram,SOCIAL,IG/FB Feed+Stories,video,,25-35,female,TRUE,,retargeting,cpc,0.75," 9,000 "," 9,000 "," 1,650,000 "," 14,800 ",0.9%," 495,000 ",30.0%,," 7,400 ", 50 ,0.7%," 19,487 ", 2.2 
Living & Furniture,DE,completed,conversion,EM_UPG_2024_001,Mattress Upgrade Campaign,Emma,roas,EUR,EM_UPG_GDN_RT_1,2024-05-20,2024-06-20,Google Display Network,DISPLAY,Responsive Display,image,,25-35,female,TRUE,mattress,retargeting,cpc,0.3," 7,000 "," 7,000 "," 2,800,000 "," 21,000 ",0.8%,,0.0%,," 11,416 ", 76 ,0.7%," 39,710 ", 5.7 
Living & Furniture,DE,completed,conversion,EM_UPG_2024_001,Mattress Upgrade Campaign,Emma,roas,EUR,EM_UPG_EMAIL_1,2024-05-15,2024-06-20,Salesforce Marketing Cloud,EMAIL,Inbox,html,,25-35,all,TRUE,,retargeting,flat," 4,000 "," 4,000 "," 4,000 ",,,,,," 10,500 "," 2,900 ", 17 ,0.6%," 9,149 ", 2.3 
Living & Furniture,DE,completed,conversion,EM_UPG_2024_001,Mattress Upgrade Campaign,Emma,roas,EUR,EM_UPG_AWIN_1,2024-05-15,2024-06-20,Awin,AFFILIATE,Review+Deal,image,,25-35,all,FALSE,discount,prospecting,cpa,28," 4,000 "," 4,000 ",,,,,,," 8,914 ", 69 ,0.8%," 30,231 ", 7.6 
Living & Furniture,DE,completed,conversion,EM_WSF_2024_001,Winter Sleep Festival,Emma,roas,EUR,EM_WSF_SEM_BR_1,2024-11-10,2024-12-31,Google,SEM,Search,text,brand,20-35,all,FALSE,sleep_set,prospecting,cpc,1.4," 8,000 "," 8,000 "," 300,000 "," 21,600 ",7.2%,,0.0%,," 15,000 ", 191 ,1.3%," 98,088 ", 12.3 
Living & Furniture,DE,completed,conversion,EM_WSF_2024_001,Winter Sleep Festival,Emma,roas,EUR,EM_WSF_META_RT_1,2024-11-15,2024-12-31,Instagram,SOCIAL,IG/FB Feed+Stories,video,,20-35,all,TRUE,,retargeting,cpc,0.82," 8,000 "," 8,000 "," 1,850,000 "," 23,500 ",1.3%," 620,000 ",33.5%,," 13,800 ", 187 ,1.4%," 102,621 ", 12.8 
Living & Furniture,DE,completed,conversion,EM_WSF_2024_001,Winter Sleep Festival,Emma,roas,EUR,EM_WSF_YT_1,2024-11-20,2024-12-31,Youtube,DISPLAY,In-Stream,video,,20-35,all,FALSE,gifts,prospecting,cpv,0.03," 7,000 "," 7,000 "," 4,700,000 "," 40,446 ",0.9%," 235,000 ",5.0%,," 20,826 ", 349 ,1.7%," 167,186 ", 23.9 
Living & Furniture,DE,completed,conversion,EM_WSF_2024_001,Winter Sleep Festival,Emma,roas,EUR,EM_WSF_EMAIL_1,2024-11-10,2024-12-31,Salesforce Marketing Cloud,EMAIL,Inbox,html,,20-35,all,TRUE,,retargeting,flat," 2,000 "," 2,000 "," 2,000 ",,,,,," 9,600 "," 4,850 ", 75 ,1.5%," 36,477 ", 18.2 
Living & Furniture,DE,completed,conversion,EM_WSF_2024_001,Winter Sleep Festival,Emma,roas,EUR,EM_WSF_AWIN_1,2024-11-10,2024-12-31,Awin,AFFILIATE,Review+Deal,image,,20-35,all,FALSE,gift_deals,prospecting,cpa,29," 5,000 "," 5,000 ",,,,,,," 12,500 ", 166 ,1.3%," 75,981 ", 15.2 
Beauty,DE,completed,consideration,EL_AUT_2024_001,Autumn Beauty Revival,Estee Lauder,sessions,EUR,EL_AUT_SEM_BR_1,2024-09-10,2024-10-25,Google,SEM,Search,text,brand,25-49,female,FALSE,repair,prospecting,cpc,1.2," 4,000 "," 4,000 "," 410,000 "," 4,100 ",1.0%,,0.0%,," 3,000 ", 64 ,2.1%," 6,108 ", 1.5 
Beauty,DE,completed,consideration,EL_AUT_2024_001,Autumn Beauty Revival,Estee Lauder,sessions,EUR,EL_AUT_META_PR_1,2024-09-10,2024-10-05,Instagram,SOCIAL,Feed+Reels,video,,25-49,female,FALSE,fall_skin,prospecting,cpc,0.75," 15,000 "," 15,000 "," 3,600,000 "," 32,400 ",0.9%," 710,000 ",19.7%,," 21,408 ", 543 ,2.5%," 53,693 ", 3.6 
Beauty,DE,completed,consideration,EL_AUT_2024_001,Autumn Beauty Revival,Estee Lauder,sessions,EUR,EL_AUT_GDN_1,2024-09-15,2024-10-25,Google Display Network,DISPLAY,Responsive Display,image,,25-49,female,TRUE,nightcare,retargeting,cpc,0.33," 9,000 "," 9,000 "," 3,100,000 "," 27,000 ",0.9%,,0.0%,," 14,710 ", 366 ,2.5%," 30,432 ", 3.4 
Beauty,DE,completed,consideration,EL_AUT_2024_001,Autumn Beauty Revival,Estee Lauder,sessions,EUR,EL_AUT_EMAIL_1,2024-09-10,2024-10-25,Salesforce Marketing Cloud,EMAIL,Inbox,html,,25-49,female,TRUE,,retargeting,flat," 2,000 "," 2,000 "," 2,000 ",,,,,," 8,200 "," 2,600 ", 65 ,2.5%," 6,209 ", 3.1 
Beauty,DE,completed,consideration,EL_AUT_2024_001,Autumn Beauty Revival,Estee Lauder,sessions,EUR,EL_AUT_AWIN_1,2024-09-10,2024-10-25,Awin,AFFILIATE,Review+Deal,image,,25-49,female,FALSE,discount,prospecting,cpa,29," 5,000 "," 5,000 ",,,,,,," 10,000 ", 256 ,2.6%," 18,169 ", 3.6 
Beauty,DE,completed,awareness,EL_DWR_2024_001,Estee Lauder Double Wear Radiance Launch,Estee Lauder,sessions,EUR,EL_DWR_SEM_BR_1,2024-03-01,2024-04-20,Google,SEM,Search,text,brand,25-49,female,FALSE,glow,prospecting,cpc,1.25," 18,000 "," 18,000 "," 1,200,000 "," 15,600 ",1.3%,,0.0%,," 8,500 ", 219 ,2.6%," 23,660 ", 1.3 
Beauty,DE,completed,awareness,EL_DWR_2024_001,Estee Lauder Double Wear Radiance Launch,Estee Lauder,sessions,EUR,EL_DWR_SEM_GEN_1,2024-03-01,2024-03-25,Google,SEM,Search,text,generic,25-49,female,FALSE,dewy_foundation,prospecting,cpc,1.8," 12,000 "," 12,000 "," 800,000 "," 7,680 ",1.0%,,0.0%,," 6,200 ", 161 ,2.6%," 14,877 ", 1.2 
Beauty,DE,completed,awareness,EL_DWR_2024_001,Estee Lauder Double Wear Radiance Launch,Estee Lauder,sessions,EUR,EL_DWR_META_PR_1,2024-03-01,2024-04-10,Instagram,SOCIAL,Feed+Reels,video,,25-49,female,FALSE,beauty_inspo,prospecting,cpc,0.85," 100,000 "," 100,000 "," 41,000,000 "," 345,000 ",0.8%," 7,800,000 ",19.0%,," 210,953 "," 5,964 ",2.8%," 514,383 ", 5.1 
Beauty,DE,completed,awareness,EL_DWR_2024_001,Estee Lauder Double Wear Radiance Launch,Estee Lauder,sessions,EUR,EL_DWR_META_RT_1,2024-03-15,2024-04-20,Instagram,SOCIAL,IG/FB Feed+Stories,video,,25-49,female,TRUE,,retargeting,cpc,0.95," 45,000 "," 45,000 "," 9,800,000 "," 85,000 ",0.9%," 2,100,000 ",21.4%,," 55,236 "," 1,481 ",2.7%," 142,418 ", 3.2 
Beauty,DE,completed,awareness,EL_DWR_2024_001,Estee Lauder Double Wear Radiance Launch,Estee Lauder,sessions,EUR,EL_DWR_INFL_1,2024-03-10,2024-04-05,Instagram Influencer,PARTNERSHIP,Creator Collab,video,,25-49,female,FALSE,beauty_reviews,prospecting,flat,," 20,000 "," 20,000 ",, - ,," 700,382 ",,," 8,800 ", 228 ,2.6%," 25,410 ", 1.3 
Beauty,DE,completed,awareness,EL_DWR_2024_001,Estee Lauder Double Wear Radiance Launch,Estee Lauder,sessions,EUR,EL_DWR_YT_1,2024-03-05,2024-04-20,Youtube,DISPLAY,In-Stream,video,,25-49,female,FALSE,-,prospecting,cpv,0.04," 70,000 "," 70,000 "," 1,750,000 "," 20,306 ",1.2%," 1,750,000 ",100.0%,," 18,500 ", 376 ,2.0%," 37,145 ", 0.5 
Beauty,DE,completed,awareness,EL_DWR_2024_001,Estee Lauder Double Wear Radiance Launch,Estee Lauder,sessions,EUR,EL_DWR_GDN_1,2024-03-10,2024-04-20,Google Display Network,DISPLAY,Responsive Display,image,,25-49,female,TRUE,,retargeting,cpc,0.4," 60,000 "," 60,000 "," 21,000,000 "," 147,000 ",0.7%,,0.0%,," 95,644 "," 2,368 ",2.5%," 214,636 ", 3.6 
Beauty,DE,completed,awareness,EL_DWR_2024_001,Estee Lauder Double Wear Radiance Launch,Estee Lauder,sessions,EUR,EL_DWR_EMAIL_1,2024-03-01,2024-04-20,Salesforce Marketing Cloud,EMAIL,Inbox,html,,25-49,female,TRUE,,retargeting,flat," 5,000 "," 5,000 "," 5,000 ",,,,,," 8,600 "," 2,600 ", 63 ,2.4%," 5,372 ", 1.1 
Beauty,DE,completed,awareness,EL_DWR_2024_001,Estee Lauder Double Wear Radiance Launch,Estee Lauder,sessions,EUR,EL_DWR_VOGUE_1,2024-03-01,2024-04-20,Vogue,PR,Print+Online,image,,25-49,female,FALSE,luxury_beauty,prospecting,flat,," 20,000 "," 20,000 ",,,,,,," 3,500 ", 103 ,2.9%," 9,260 ", 0.5 
Beauty,DE,completed,conversion,EL_HOL_2024_001,Holiday Glow Collection 2024,Estee Lauder,roas,EUR,EL_HOL_SEM_BR_1,2024-11-01,2024-12-25,Google,SEM,Search,text,brand,25-49,female,FALSE,giftset,prospecting,cpc,1.45," 12,000 "," 12,000 "," 800,000 "," 9,800 ",1.2%,,0.0%,," 7,200 ", 178 ,2.5%," 13,987 ", 1.2 
Beauty,DE,completed,conversion,EL_HOL_2024_001,Holiday Glow Collection 2024,Estee Lauder,roas,EUR,EL_HOL_SEM_GEN_1,2024-11-01,2024-12-25,Google,SEM,Search,text,generic,25-49,female,FALSE,holiday_foundation,prospecting,cpc,1.9," 8,000 "," 8,000 "," 450,000 "," 4,200 ",0.9%,,0.0%,," 3,600 ", 85 ,2.4%," 9,012 ", 1.1 
Beauty,DE,completed,conversion,EL_HOL_2024_001,Holiday Glow Collection 2024,Estee Lauder,roas,EUR,EL_HOL_META_RT_1,2024-11-10,2024-12-25,Instagram,SOCIAL,IG/FB Feed+Stories,video,,25-49,female,TRUE,,retargeting,cpc,0.9," 12,000 "," 12,000 "," 1,900,000 "," 21,000 ",1.1%," 620,000 ",32.6%,," 10,131 ", 300 ,3.0%," 28,284 ", 2.4 
Beauty,DE,completed,conversion,EL_HOL_2024_001,Holiday Glow Collection 2024,Estee Lauder,roas,EUR,EL_HOL_EMAIL_1,2024-11-01,2024-12-25,Salesforce Marketing Cloud,EMAIL,Inbox,html,,25-49,female,TRUE,,retargeting,flat," 2,000 "," 2,000 "," 2,000 ",,,,,," 9,400 "," 2,650 ", 61 ,2.3%," 4,801 ", 2.4 
Beauty,DE,completed,conversion,EL_HOL_2024_001,Holiday Glow Collection 2024,Estee Lauder,roas,EUR,EL_HOL_GDN_PR_1,2024-11-05,2024-12-25,Google Display Network,DISPLAY,Responsive Display,image,,25-49,female,FALSE,,prospecting,cpc,0.35," 6,000 "," 6,000 "," 2,100,000 "," 17,000 ",0.8%,,0.0%,," 8,501 ", 222 ,2.6%," 17,970 ", 3.0 
Beauty,DE,completed,conversion,EL_HOL_2024_001,Holiday Glow Collection 2024,Estee Lauder,roas,EUR,EL_HOL_GDN_RT_1,2024-11-10,2024-12-25,Google Display Network,DISPLAY,Responsive Display,image,,25-49,female,TRUE,,retargeting,cpc,0.45," 3,000 "," 3,000 "," 900,000 "," 7,100 ",0.8%,,0.0%,," 5,400 ", 134 ,2.5%," 13,524 ", 4.5 
Beauty,DE,completed,conversion,EL_HOL_2024_001,Holiday Glow Collection 2024,Estee Lauder,roas,EUR,EL_HOL_CRIT_RT_1,2024-11-12,2024-12-25,Criteo,DISPLAY,Dynamic Retargeting,image,,25-49,female,TRUE,,retargeting,cpc,0.8," 2,000 "," 2,000 "," 350,000 "," 2,300 ",0.7%,,0.0%,," 2,600 ", 68 ,2.6%," 6,675 ", 3.3 
Beauty,DE,completed,conversion,EL_HOL_2024_001,Holiday Glow Collection 2024,Estee Lauder,roas,EUR,EL_HOL_AWIN_1,2024-11-01,2024-12-25,Awin,AFFILIATE,Beauty Deal,image,,25-49,female,FALSE,holiday_beauty,prospecting,cpa,29," 5,000 "," 5,000 ",,,,,,," 11,800 ", 259 ,2.2%," 23,434 ", 4.7 
Beauty,DE,completed,conversion,EL_MD_2024_001,Mother’s Day Gift with Love 2024,Estee Lauder,roas,EUR,EL_MD_SEM_BR_1,2024-04-25,2024-05-31,Google,SEM,Search,text,brand,25-49,female,FALSE,ANR,prospecting,cpc,1.35," 30,000 "," 30,000 "," 2,100,000 "," 21,300 ",1.0%,,0.0%,," 18,600 ", 452 ,2.4%," 44,292 ", 1.5 
Beauty,DE,completed,conversion,EL_MD_2024_001,Mother’s Day Gift with Love 2024,Estee Lauder,roas,EUR,EL_MD_SEM_GEN_1,2024-04-25,2024-05-31,Google,SEM,Search,text,generic,25-49,female,FALSE,mothers_day_refill,prospecting,cpc,1.7," 20,000 "," 20,000 "," 1,150,000 "," 11,200 ",1.0%,,0.0%,," 8,900 ", 265 ,3.0%," 24,671 ", 1.2 
Beauty,DE,completed,conversion,EL_MD_2024_001,Mother’s Day Gift with Love 2024,Estee Lauder,roas,EUR,EL_MD_META_RT_1,2024-04-28,2024-05-31,Instagram,SOCIAL,IG/FB Feed+Stories,video,,25-49,female,TRUE,,retargeting,cpc,0.92," 40,000 "," 40,000 "," 12,200,000 "," 122,000 ",1.0%," 3,100,000 ",25.4%,," 59,650 "," 1,550 ",2.6%," 153,273 ", 3.8 
Beauty,DE,completed,conversion,EL_MD_2024_001,Mother’s Day Gift with Love 2024,Estee Lauder,roas,EUR,EL_MD_EMAIL_1,2024-04-25,2024-05-31,Salesforce Marketing Cloud,EMAIL,Inbox,html,,25-49,female,TRUE,,retargeting,flat," 10,000 "," 10,000 "," 10,000 ",,,,,," 15,000 "," 4,600 ", 124 ,2.7%," 11,317 ", 1.1 
