category_level_1_id,category_level_1,category_level_2_id,category_level_2,brand,product_id,product_name,SKU_id,SKU_name,size,color,other features,RRP
EMM-SLP,Sleep,EMM-BED,Bed Frame,Emma,EMM-P-0032,Emma Metal Bed,EMM-S-0032,Emma Metal Bed - 160x200cm - Black - Boost midsole,160x200cm,Black,Boost midsole,591.76
EMM-SLP,Sleep,EMM-MAT,Mattress,Emma,EMM-P-0033,Emma Hybrid Mattress,EMM-S-0033,Emma Hybrid Mattress - 375g - White/Silver - Ortholite insole,375g,White/Silver,Ortholite insole,82.24
EMM-SLP,Sleep,EMM-PIL,Pillow,Emma,EMM-P-0034,Emma Foam Pillow,EMM-S-0034,Emma Foam Pillow - 40 - Navy - Satin finish,40,Navy,Satin finish,320.09
EMM-SLP,Sleep,EMM-PIL,Pillow,Emma,EMM-P-0035,Emma Foam Pillow,EMM-S-0035,Emma Foam Pillow - One Size - Nickel - Removable cover,One Size,Nickel,Removable cover,757.02
EMM-SLP,Sleep,EMM-PIL,Pillow,Emma,EMM-P-0036,Emma Foam Pillow,EMM-S-0036,Emma Foam Pillow - S - Blue/Copper - AEROREADY,S,Blue/Copper,AEROREADY,898.92
EMM-SLP,Sleep,EMM-TOP,Topper,Emma,EMM-P-0037,Emma Topper,EMM-S-0037,Emma Topper - XL - White - Instant coffee,XL,White,Instant coffee,73.62
EMM-SLP,Sleep,EMM-MAT,Mattress,Emma,EMM-P-0038,Emma Original Mattress,EMM-S-0038,Emma Original Mattress - XL - Navy - AEROREADY,XL,Navy,AEROREADY,573.35
EMM-SLP,Sleep,EMM-MAT,Mattress,Emma,EMM-P-0039,Emma Hybrid Mattress,EMM-S-0039,Emma Hybrid Mattress - L - White/Silver - Instant coffee,L,White/Silver,Instant coffee,137.37
EMM-SLP,Sleep,EMM-MAT,Mattress,Emma,EMM-P-0040,Emma Hybrid Mattress,EMM-S-0040,Emma Hybrid Mattress - 42 - Green - 7-zone support,42,Green,7-zone support,183.3
EL-BEA,Beauty,EL-MKP,Makeup,Estee Lauder,EL-P-0001,Pure Color Lipstick,EL-S-0001,Pure Color Lipstick - 50ml - White - Ortholite insole,50ml,White,Ortholite insole,145.59
EL-BEA,Beauty,EL-SKN,Skincare,Estee Lauder,EL-P-0002,Advanced Night Repair Serum,EL-S-0002,Advanced Night Repair Serum - 160x200cm - Black - Removable cover,160x200cm,Black,Removable cover,96.97
EL-BEA,Beauty,EL-MKP,Makeup,Estee Lauder,EL-P-0003,Double Wear Foundation,EL-S-0003,Double Wear Foundation - 41 - Navy - Boost midsole,41,Navy,Boost midsole,99.01
EL-BEA,Beauty,EL-FRA,Fragrance,Estee Lauder,EL-P-0004,Beautiful Eau de Parfum,EL-S-0004,Beautiful Eau de Parfum - XL - White - Removable cover,XL,White,Removable cover,131.29
EL-BEA,Beauty,EL-MKP,Makeup,Estee Lauder,EL-P-0005,Pure Color Lipstick,EL-S-0005,Pure Color Lipstick - 200ml - White - Coanda styling,200ml,White,Coanda styling,122.83
EL-BEA,Beauty,EL-SKN,Skincare,Estee Lauder,EL-P-0006,Revitalizing Supreme+ Cream,EL-S-0006,Revitalizing Supreme+ Cream - 43 - Nickel - Instant coffee,43,Nickel,Instant coffee,71.32
EL-BEA,Beauty,EL-MKP,Makeup,Estee Lauder,EL-P-0007,Pure Color Lipstick,EL-S-0007,Pure Color Lipstick - 140x200cm - Beige - AEROREADY,140x200cm,Beige,AEROREADY,131.2
EL-BEA,Beauty,EL-MKP,Makeup,Estee Lauder,EL-P-0008,Double Wear Foundation,EL-S-0008,Double Wear Foundation - M - Nickel - 7-zone support,M,Nickel,7-zone support,104.45
EL-BEA,Beauty,EL-MKP,Makeup,Estee Lauder,EL-P-0009,Double Wear Foundation,EL-S-0009,Double Wear Foundation - 50ml - Grey - Hyaluronic acid,50ml,Grey,Hyaluronic acid,47.02
EL-BEA,Beauty,EL-MKP,Makeup,Estee Lauder,EL-P-0010,Pure Color Lipstick,EL-S-0010,Pure Color Lipstick - 140x200cm - Green - Coanda styling,140x200cm,Green,Coanda styling,126.02
EL-BEA,Beauty,EL-MKP,Makeup,Estee Lauder,EL-P-0011,Pure Color Lipstick,EL-S-0011,Pure Color Lipstick - 200ml - White/Silver - Satin finish,200ml,White/Silver,Satin finish,79.45
EL-BEA,Beauty,EL-FRA,Fragrance,Estee Lauder,EL-P-0012,Beautiful Eau de Parfum,EL-S-0012,Beautiful Eau de Parfum - 160x200cm - Green - 7-zone support,160x200cm,Green,7-zone support,131.46
EL-BEA,Beauty,EL-SKN,Skincare,Estee Lauder,EL-P-0013,Advanced Night Repair Serum,EL-S-0013,Advanced Night Repair Serum - One Size - White/Silver - Laptop sleeve,One Size,White/Silver,Laptop sleeve,118.81
EL-BEA,Beauty,EL-MKP,Makeup,Estee Lauder,EL-P-0014,Pure Color Lipstick,EL-S-0014,Pure Color Lipstick - 160x200cm - Nickel - 7-zone support,160x200cm,Nickel,7-zone support,28.59
EL-BEA,Beauty,EL-SKN,Skincare,Estee Lauder,EL-P-0015,Revitalizing Supreme+ Cream,EL-S-0015,Revitalizing Supreme+ Cream - L - White/Silver - Laptop sleeve,L,White/Silver,Laptop sleeve,69.35
EL-BEA,Beauty,EL-SKN,Skincare,Estee Lauder,EL-P-0016,Revitalizing Supreme+ Cream,EL-S-0016,Revitalizing Supreme+ Cream - 40 - Green - Coanda styling,40,Green,Coanda styling,112.65
EL-BEA,Beauty,EL-SKN,Skincare,Estee Lauder,EL-P-0017,Revitalizing Supreme+ Cream,EL-S-0017,Revitalizing Supreme+ Cream - 43 - Black - HEPA H13,43,Black,HEPA H13,143.51
EL-BEA,Beauty,EL-SKN,Skincare,Estee Lauder,EL-P-0018,Advanced Night Repair Serum,EL-S-0018,Advanced Night Repair Serum - XL - Nickel - Satin finish,XL,Nickel,Satin finish,94.4
EL-BEA,Beauty,EL-SKN,Skincare,Estee Lauder,EL-P-0019,Micro Essence Lotion,EL-S-0019,Micro Essence Lotion - 50ml - White/Silver - Instant coffee,50ml,White/Silver,Instant coffee,113.98
EL-BEA,Beauty,EL-MKP,Makeup,Estee Lauder,EL-P-0020,Double Wear Foundation,EL-S-0020,Double Wear Foundation - 200ml - Black - Boost midsole,200ml,Black,Boost midsole,61.78
EL-BEA,Beauty,EL-MKP,Makeup,Estee Lauder,EL-P-0021,Double Wear Foundation,EL-S-0021,Double Wear Foundation - 50ml - Navy - Removable cover,50ml,Navy,Removable cover,108
EL-BEA,Beauty,EL-SKN,Skincare,Estee Lauder,EL-P-0022,Revitalizing Supreme+ Cream,EL-S-0022,Revitalizing Supreme+ Cream - 42 - Blue/Copper - HEPA H13,42,Blue/Copper,HEPA H13,67.97
EL-BEA,Beauty,EL-FRA,Fragrance,Estee Lauder,EL-P-0023,Beautiful Eau de Parfum,EL-S-0023,Beautiful Eau de Parfum - 43 - Beige - 7-zone support,43,Beige,7-zone support,112.86
EL-BEA,Beauty,EL-SKN,Skincare,Estee Lauder,EL-P-0024,Revitalizing Supreme+ Cream,EL-S-0024,Revitalizing Supreme+ Cream - One Size - Green - Laptop sleeve,One Size,Green,Laptop sleeve,40.08
EL-BEA,Beauty,EL-SKN,Skincare,Estee Lauder,EL-P-0025,Micro Essence Lotion,EL-S-0025,Micro Essence Lotion - 40 - White - HEPA H13,40,White,HEPA H13,143.86
EL-BEA,Beauty,EL-FRA,Fragrance,Estee Lauder,EL-P-0026,Beautiful Eau de Parfum,EL-S-0026,Beautiful Eau de Parfum - L - Navy - Laptop sleeve,L,Navy,Laptop sleeve,117.33
EL-BEA,Beauty,EL-SKN,Skincare,Estee Lauder,EL-P-0027,Revitalizing Supreme+ Cream,EL-S-0027,Revitalizing Supreme+ Cream - 50ml - N/A - HEPA H13,50ml,N/A,HEPA H13,99.6
EL-BEA,Beauty,EL-SKN,Skincare,Estee Lauder,EL-P-0028,Advanced Night Repair Serum,EL-S-0028,Advanced Night Repair Serum - 375g - Navy - Removable cover,375g,Navy,Removable cover,53.44
EL-BEA,Beauty,EL-SKN,Skincare,Estee Lauder,EL-P-0029,Micro Essence Lotion,EL-S-0029,Micro Essence Lotion - One Size - Black - HEPA H13,One Size,Black,HEPA H13,40.82
EL-BEA,Beauty,EL-SKN,Skincare,Estee Lauder,EL-P-0030,Advanced Night Repair Serum,EL-S-0030,Advanced Night Repair Serum - S - Blue/Copper - Removable cover,S,Blue/Copper,Removable cover,112.18
EL-BEA,Beauty,EL-SKN,Skincare,Estee Lauder,EL-P-0031,Micro Essence Lotion,EL-S-0031,Micro Essence Lotion - 140x200cm - White/Silver - Boost midsole,140x200cm,White/Silver,Boost midsole,134.09
EL-BEA,Beauty,EL-MKP,Makeup,Estee Lauder,EL-P-0032,Pure Color Lipstick,EL-S-0032,Pure Color Lipstick - One Size - White/Silver - Satin finish,One Size,White/Silver,Satin finish,80.06
EL-BEA,Beauty,EL-SKN,Skincare,Estee Lauder,EL-P-0033,Micro Essence Lotion,EL-S-0033,Micro Essence Lotion - S - Green - Satin finish,S,Green,Satin finish,39.26
EL-BEA,Beauty,EL-SKN,Skincare,Estee Lauder,EL-P-0034,Advanced Night Repair Serum,EL-S-0034,Advanced Night Repair Serum - 41 - White/Silver - Boost midsole,41,White/Silver,Boost midsole,97.13
EL-BEA,Beauty,EL-FRA,Fragrance,Estee Lauder,EL-P-0035,Beautiful Eau de Parfum,EL-S-0035,Beautiful Eau de Parfum - S - Grey - Ortholite insole,S,Grey,Ortholite insole,126.39
EL-BEA,Beauty,EL-SKN,Skincare,Estee Lauder,EL-P-0036,Revitalizing Supreme+ Cream,EL-S-0036,Revitalizing Supreme+ Cream - M - Navy - Boost midsole,M,Navy,Boost midsole,94.76
EL-BEA,Beauty,EL-MKP,Makeup,Estee Lauder,EL-P-0037,Double Wear Foundation,EL-S-0037,Double Wear Foundation - 160x200cm - N/A - Coanda styling,160x200cm,N/A,Coanda styling,53.21
EL-BEA,Beauty,EL-MKP,Makeup,Estee Lauder,EL-P-0038,Pure Color Lipstick,EL-S-0038,Pure Color Lipstick - 41 - White/Silver - Satin finish,41,White/Silver,Satin finish,62.17
EL-BEA,Beauty,EL-MKP,Makeup,Estee Lauder,EL-P-0039,Pure Color Lipstick,EL-S-0039,Pure Color Lipstick - 41 - Green - Coanda styling,41,Green,Coanda styling,102.63
EL-BEA,Beauty,EL-MKP,Makeup,Estee Lauder,EL-P-0040,Pure Color Lipstick,EL-S-0040,Pure Color Lipstick - 50ml - White - Laptop sleeve,50ml,White,Laptop sleeve,103.19
NES-FOB,Food & Beverage,NES-CHO,Chocolate,Nestle,NES-P-0001,KitKat 4-Finger,NES-S-0001,KitKat 4-Finger - 140x200cm - White - Ortholite insole,140x200cm,White,Ortholite insole,4.4
NES-FOB,Food & Beverage,NES-CER,Cereal,Nestle,NES-P-0002,Cheerios Multigrain,NES-S-0002,Cheerios Multigrain - M - Grey - AEROREADY,M,Grey,AEROREADY,6.09
NES-FOB,Food & Beverage,NES-CER,Cereal,Nestle,NES-P-0003,Cheerios Multigrain,NES-S-0003,Cheerios Multigrain - 42 - Green - AEROREADY,42,Green,AEROREADY,4.31
NES-FOB,Food & Beverage,NES-CHO,Chocolate,Nestle,NES-P-0004,KitKat 4-Finger,NES-S-0004,KitKat 4-Finger - 50ml - White/Silver - Boost midsole,50ml,White/Silver,Boost midsole,8.87
NES-FOB,Food & Beverage,NES-CHO,Chocolate,Nestle,NES-P-0005,KitKat 4-Finger,NES-S-0005,KitKat 4-Finger - 200ml - N/A - Instant coffee,200ml,N/A,Instant coffee,10.04
NES-FOB,Food & Beverage,NES-COF,Coffee,Nestle,NES-P-0006,Nespresso Original Capsules,NES-S-0006,Nespresso Original Capsules - 41 - White - HEPA H13,41,White,HEPA H13,4.25
NES-FOB,Food & Beverage,NES-COF,Coffee,Nestle,NES-P-0007,Nespresso Original Capsules,NES-S-0007,Nespresso Original Capsules - 200g - Green - Ortholite insole,200g,Green,Ortholite insole,2.71
NES-FOB,Food & Beverage,NES-COF,Coffee,Nestle,NES-P-0008,Nespresso Original Capsules,NES-S-0008,Nespresso Original Capsules - 200ml - Green - Coanda styling,200ml,Green,Coanda styling,9.49
NES-FOB,Food & Beverage,NES-CER,Cereal,Nestle,NES-P-0009,Cheerios Multigrain,NES-S-0009,Cheerios Multigrain - 200g - Green - Satin finish,200g,Green,Satin finish,3.24
NES-FOB,Food & Beverage,NES-CHO,Chocolate,Nestle,NES-P-0010,KitKat 4-Finger,NES-S-0010,KitKat 4-Finger - 50ml - Nickel - Removable cover,50ml,Nickel,Removable cover,7
NES-FOB,Food & Beverage,NES-CHO,Chocolate,Nestle,NES-P-0011,After Eight Mints,NES-S-0011,After Eight Mints - 42 - White - Coanda styling,42,White,Coanda styling,2.4
NES-FOB,Food & Beverage,NES-CHO,Chocolate,Nestle,NES-P-0012,After Eight Mints,NES-S-0012,After Eight Mints - 50ml - Beige - Coanda styling,50ml,Beige,Coanda styling,4.5
NES-FOB,Food & Beverage,NES-COF,Coffee,Nestle,NES-P-0013,Nescaf챕 Gold,NES-S-0013,Nescaf챕 Gold - XL - N/A - Coanda styling,XL,N/A,Coanda styling,11.51
NES-FOB,Food & Beverage,NES-CHO,Chocolate,Nestle,NES-P-0014,KitKat 4-Finger,NES-S-0014,KitKat 4-Finger - 160x200cm - Black - Ortholite insole,160x200cm,Black,Ortholite insole,6.71
NES-FOB,Food & Beverage,NES-CHO,Chocolate,Nestle,NES-P-0015,After Eight Mints,NES-S-0015,After Eight Mints - 200g - Green - Ortholite insole,200g,Green,Ortholite insole,11.97
NES-FOB,Food & Beverage,NES-CHO,Chocolate,Nestle,NES-P-0016,After Eight Mints,NES-S-0016,After Eight Mints - 140x200cm - White/Silver - Boost midsole,140x200cm,White/Silver,Boost midsole,6.7
NES-FOB,Food & Beverage,NES-CHO,Chocolate,Nestle,NES-P-0017,After Eight Mints,NES-S-0017,After Eight Mints - 40 - Beige - Instant coffee,40,Beige,Instant coffee,3.05
NES-FOB,Food & Beverage,NES-COF,Coffee,Nestle,NES-P-0018,Nespresso Original Capsules,NES-S-0018,Nespresso Original Capsules - 40 - Nickel - Satin finish,40,Nickel,Satin finish,4.88
NES-FOB,Food & Beverage,NES-CHO,Chocolate,Nestle,NES-P-0019,After Eight Mints,NES-S-0019,After Eight Mints - 375g - Blue/Copper - AEROREADY,375g,Blue/Copper,AEROREADY,6.55
NES-FOB,Food & Beverage,NES-CHO,Chocolate,Nestle,NES-P-0020,KitKat 4-Finger,NES-S-0020,KitKat 4-Finger - One Size - Beige - Boost midsole,One Size,Beige,Boost midsole,11.7
